961f1c4;lbonnargent;2018-04-13 11:40:52;Add Travis CI badge
652a179;lbonnargent;2018-04-13 11:27:59;Add travis CI
b5e3a45;lbonnargent;2018-04-13 11:08:15;Release v0.1.1
a2e3fad;lbonnargent;2018-04-13 11:07:38;Update module name for npm
8641b37;lbonnargent;2018-04-13 10:54:39;release v0.1.0
475817c;lbonnargent;2018-04-13 10:53:29;Main methods
251a387;lbonnargent;2018-04-13 10:53:10;Define API services
627ce14;lbonnargent;2018-04-13 10:52:48;Requests engine
7f63876;lbonnargent;2018-04-13 10:52:00;project basics
3be6250;Léo Bonnargent;2018-04-11 14:56:07;Initial commit
